Trade Date,Account,Currency,Exchange,ProductCurrency,Description,Symbol,ContractYear,ContractMonth,LongQuantity,ShortQuantity,TradePrice,TraderID
20140827,70001401,CNY,CFFEX,CNY,IF,IF14091.0,0,2343.6,00096825
20140827,70001401,CNY,CFFEX,CNY,IF,IF14091.0,0,2342.4,00097599
20140827,70001401,CNY,CFFEX,CNY,IF,IF1409,1.0,0,2343.2,00100330
20140827,70001401,CNY,CFFEX,CNY,IF,IF1409,0,1.0,2342.2,00104164
20140827,70001401,CNY,CFFEX,CNY,IF,IF1409,0,1.0,2341.6,00125978,133751 780
20140827,70001401,CNY,CFFEX,CNY,IF,IF1409,0,1.0,2340.2,00127948,20140827133956,133956 883
